Show_ID,Type,Title,Director,Release_Date,Genre
s1,Movie,Netflix Title 1,Steven Spielberg,"Mar 2, 2022",Documentaries
s2,TV Show,Netflix Title 2,S.S. Rajamouli,"Mar 22, 2022",Dramas
s3,TV Show,Netflix Title 3,nan,"Jan 15, 2015",Comedies
s4,Movie,Netflix Title 4,Christopher Nolan,"Mar 24, 2017",Action
s5,Movie,Netflix Title 5,nan,"Jan 12, 2015",Action
s6,Movie,Netflix Title 6,Christopher Nolan,"Mar 5, 2022",Horror
s7,Movie,Netflix Title 7,Greta Gerwig,"Jan 8, 2023",Documentaries
s8,TV Show,Netflix Title 8,Christopher Nolan,"Mar 11, 2015",Horror
s9,Movie,Netflix Title 9,Steven Spielberg,"Jan 19, 2022",Dramas
s10,TV Show,Netflix Title 10,S.S. Rajamouli,"Mar 24, 2015",Action
s11,,,,,
s12,,,,,
s13,,,,,
s14,,,,,
s15,,,,,
s16,,,,,
s17,,,,,
s18,,,,,
s19,,,,,
s20,,,,,
s21,Movie,Netflix Title 21,Christopher Nolan,"Jan 4, 2018",Dramas
s22,Movie,Netflix Title 22,S.S. Rajamouli,"Feb 9, 2023",Comedies
s23,Movie,Netflix Title 23,Greta Gerwig,"Jan 26, 2021",Comedies
s24,Movie,Netflix Title 24,S.S. Rajamouli,"Feb 18, 2019",Comedies
s25,Movie,Netflix Title 25,nan,"Mar 8, 2016",Action
s26,TV Show,Netflix Title 26,Greta Gerwig,"Feb 13, 2019",Action
s27,Movie,Netflix Title 27,Steven Spielberg,"Mar 16, 2016",Action
s28,Movie,Netflix Title 28,S.S. Rajamouli,"Mar 10, 2015",Documentaries
s29,Movie,Netflix Title 29,Greta Gerwig,"Feb 23, 2023",Dramas
s30,Movie,Netflix Title 30,S.S. Rajamouli,"Jan 8, 2023",Horror
s31,Movie,Netflix Title 31,Greta Gerwig,"Feb 22, 2018",Documentaries
s32,Movie,Netflix Title 32,Christopher Nolan,"Feb 20, 2019",Dramas
s33,Movie,Netflix Title 33,S.S. Rajamouli,"Mar 14, 2015",Dramas
s34,TV Show,Netflix Title 34,Steven Spielberg,"Jan 3, 2021",Comedies
s35,TV Show,Netflix Title 35,Steven Spielberg,"Mar 17, 2023",Comedies
s36,TV Show,Netflix Title 36,nan,"Mar 18, 2019",Documentaries
s37,Movie,Netflix Title 37,Greta Gerwig,"Jan 21, 2022",Comedies
s38,Movie,Netflix Title 38,S.S. Rajamouli,"Feb 8, 2021",Dramas
s39,Movie,Netflix Title 39,nan,"Mar 12, 2020",Comedies
s40,Movie,Netflix Title 40,S.S. Rajamouli,"Feb 11, 2023",Action
s41,Movie,Netflix Title 41,Greta Gerwig,"Feb 13, 2016",Comedies
s42,Movie,Netflix Title 42,Steven Spielberg,"Feb 21, 2018",Dramas
s43,Movie,Netflix Title 43,Christopher Nolan,"Mar 18, 2017",Documentaries
s44,TV Show,Netflix Title 44,Steven Spielberg,"Mar 24, 2020",Horror
s45,Movie,Netflix Title 45,nan,"Mar 5, 2015",Comedies
